X_crs25832;Y_crs25832;Recorder;NUTART;NSG-NR;NSG-NAME;TK25_NR;TK25_VIERT;ID_PLACE;VSG-NAME;VSG-NR;BETR;ABT;FFH-NAME;FFH-NR;Forstamt;Rev_HRORG;FO_Revier;FO_HR_ID;Staatswald;X;Y
434545.631;5578674.471;vsw;Acker;;;5614;1;482662;Feldflur bei Limburg;5614-401;;;;;Weilmünster;324;Hünfelden;1374;nein;8.07986;50.3565
475354.169;5518060.053;vsw;Mischwald;1411012;Lerchenberg und Kernesbellen von Darmstadt-Eberstadt;6117;4;432006;Prinzenberg bei Darmstadt-Eberstadt;6117-403;91;960;Lerchenberg und Kernesbellen von Darmstadt-Eberstadt;6117-303;Darmstadt;153;Mühltal;1118;ja;8.65742;49.81448
475580.4664;5520264.797;vsw;Mischwald;;;6117;4;431953;Prinzenberg bei Darmstadt-Eberstadt;6117-403;91;7;Streuobstwiesen von Darmstadt-Eberstadt/Prinzenberg und Eichwäld.;6117-308;Darmstadt;153;Mühltal;1118;ja;8.66043;49.83432
476393.9677;5519442.4;vsw;Mischwald;;;6118;3;531482;Prinzenberg bei Darmstadt-Eberstadt;6117-403;91;3;;;Darmstadt;153;Mühltal;1118;ja;8.67179;49.82695
512346.6858;5641553.649;vsw;Gruenland;1634010;Leistwiesen bei Rommershausen;5021;3;449206;Schwalmniederung bei Schwalmstadt;5121-401;1211;23;Leistwiesen bei Rommershausen;5021-301;Jesberg;473;Schönstein;1252;ja;9.17567;50.92549
514466.0025;5644029.658;vsw;Gruenland;;;5021;3;449217;Schwalmniederung bei Schwalmstadt;5121-401;;;;;Jesberg;471;Schwalmstadt;1252;nein;9.20593;50.9477
514721.5708;5635625.936;vsw;Gruenland;;;5121;1;537101;Schwalmniederung bei Schwalmstadt;5121-401;;;;;Neukirchen;381;Willingshausen;1216;nein;9.20923;50.87213
515991.4448;5636564.858;vsw;Acker;;;5121;1;537108;Schwalmniederung bei Schwalmstadt;5121-401;;;;;Neukirchen;381;Willingshausen;1216;nein;9.22731;50.88054
516804.1151;5635378.335;vsw;Gruenland;;;5121;1;537103;Schwalmniederung bei Schwalmstadt;5121-401;;;;;Neukirchen;381;Willingshausen;1216;nein;9.23881;50.86984
517927.5123;5639230.858;vsw;Gruenland;1634006;Storchenteich am Schwertzellsgraben;5021;4;449193;Schwalmniederung bei Schwalmstadt;5121-401;;;;;Jesberg;471;Schwalmstadt;1252;nein;9.25497;50.90445
519584.7224;5635960.565;vsw;Gruenland;;;5121;2;537111;Schwalmniederung bei Schwalmstadt;5121-401;;;;;Neukirchen;382;Neukirchen;1216;nein;9.27836;50.87499
