X_crs25832;Y_crs25832;Recorder;NUTART;NSG-NR;NSG-NAME;TK25_NR;TK25_VIERT;ID_PLACE;VSG-NAME;VSG-NR;BETR;ABT;FFH-NAME;FFH-NR;Forstamt;Rev_HRORG;FO_Revier;FO_HR_ID;Staatswald;X;Y
440740.034;5581388.165;trackIT;Acker;;;5615;1;482478;Feldflur bei Limburg;5614-401;;;;;Weilmünster;322;Erbach;1374;nein;8.1665;50.38156
441067.5338;5543264.303;trackIT;Sonstiges;;;5915;3;432444;Inselrhein;5914-450;;;;;Wiesbaden-Chausseehaus;142;Chausseehaus;1117;nein;8.17702;50.03876
446995.4659;5587297.489;trackIT;Mischwald;;;5515;4;483078;Steinbrüche in Mittelhessen;5414-450;1772;2010;Lahntal und seine Hänge;5515-303;Weilmünster;327;Weinbach;1374;ja;8.25364;50.4353
472237.3652;5602256.488;trackIT;Sonstiges;1532039;Lahnaue zwischen Atzbach, Dutenhofen und Heuchelheim;5417;2;482410;Lahnaue zwischen Atzbach und Gießen;5417-401;;;Lahnaue zwischen Atzbach und Gießen;5417-301;Wetzlar;128;Bischoffen-Lahnau;1312;nein;8.60795;50.57157
475094.9629;5519729.261;trackIT;Gruenland;;;6117;4;432009;Prinzenberg bei Darmstadt-Eberstadt;6117-403;;;Streuobstwiesen von Darmstadt-Eberstadt/Prinzenberg und Eichwäld.;6117-308;Darmstadt;153;Mühltal;1118;nein;8.65371;49.82948
497498.1385;5519278.02;trackIT;Mischwald;;Sandsteinbrüche am Burzelberg bei Frau-;6118;3;531483;Felswände des nördlichen Odenwaldes;6119-402;;;;;Darmstadt;153;Mühltal;1118;nein;8.6964;49.83105
478124.394;5497760.014;trackIT;Laubwald;;;6318;3;52960;Felswände des Vorderen Odenwaldes;6318-450;;;;;Lampertheim;215;Heppenheim;1150;nein;8.69707;49.632
481208.0086;5606230.782;trackIT;Gruenland;;;5318;3;54778;Wieseckaue östlich Gießen;5318-401;;;Wieseckaue und Josolleraue;5318-302;Wettenberg;179;Linden;1349;nein;8.73443;50.60766
481328.0913;5622039.308;trackIT;Siedlung;;;5218;1;619030;Lahntal zwischen Marburg und Gießen;5218-401;;;;;Kirchhain;399;Fronhausen;1319;nein;8.73532;50.74983
494186.1398;5589398.218;trackIT;Gruenland;;;5519;2;480914;Wetterau;5519-401;1705;1599;Horloffaue zwischen Hungen und Grund-Schwalheim;5519-304;Wettenberg;186;Hungen;1349;ja;8.9181;50.45656
497941.1051;5533290.416;trackIT;Sonstiges;;;6019;2;53256;In den Rödern bei Babenhausen;6019-302;;;In den Rödern bei Babenhausen;6019-302;Dieburg;161;Mathildeneiche;1119;nein;8.9713;49.95197
515826.3954;5559673.665;trackIT;Siedlung;;;5821;1;552945;Felswände bei Büdingen und Gelnhausen;5821-450;;;;;Hanau-Wolfgang;328;Linsengericht;1176;nein;9.2217;50.18905
534208.3364;5681767.637;trackIT;Gewaesser;;;4722;2;400845;Fuldaaue um Kassel;4722-401;;;;;Wolfhagen;523;Wahlershausen;1275;nein;9.49053;51.28621
554529.6233;5646341.197;trackIT;Gruenland;;;5024;2;487938;Fuldatal zwischen Rotenburg und Niederaula;5024-401;;;;;Rotenburg;414;Bebra;1231;nein;9.77655;50.96609
